name,smi,success
25P,O=C([O-])CCCN1CCCC1COc1ccc(Oc2ccc(Cl)cc2)cc1,1
27A,CN1CCN(c2ccccc2C/N=N\C(N)=S)CC1,1
27E,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1
27G,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1
27H,CC1=CCC2(C)CCC(O)(C(C)C)C2C(OC(=O)c2ccc(O)cc2)C1,1
27J,CC1CCCC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1,1
27K,CCCCOC(=O)c1ccc(O)cc1,1
27L,CC(C)(C)CC(C)(C)c1ccc(O)cc1,1
27M,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,1
27N,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,1
29V,CC(=C/C/C=C(\C)CC(=O)O)/C=C1\CCC(C)c2ccccc21,1
29W,COc1ccc2c(c1)cc(C(=O)NS(=O)(=O)c1ccc(C)cc1)n2CC(=O)O,1
2AM,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1OP(=O)(O)O,1
2AN,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,1
2AP,Nc1cccc[nH+]1,1
2B4,O=C(O)C(Oc1ccc(Br)cc1)C(=O)O,1
2B5,COc1ccc2c(c1)cc(CNC(=O)c1cc3ccccc3o1)n2CC(=O)O,1
2BA,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC3C(COP(=O)(O)OC2C1O)OC(n1cnc2c(N)ncnc21)C3O,1
2BG,NCc1nc2ccccc2s1,1
2C1,CNC(=O)Nc1cc(Br)cc(NC(=O)NS(=O)(=O)c2cc(C)c(CCOC)s2)n1,1
2C9,Cc1cccc(N)c1N,1
2CK,c1ccc2c(c1)CCNC2,1
2CQ,Cc1cc(N)c(N)cc1Cl,1
2CV,CCCCCCCCCC(=O)N(CCO)CC(O)C(O)C(O)C(O)CO,1
2DH,COc1ccc2c(c1)cc(C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1)n2CC(=O)O,1
2DL,CCN(CC)C(=O)c1ccc(O)c(OC)c1,1
2DW,COc1ccc2c(c1)cc(C(=O)NS(=O)(=O)c1ccc3ccccc3c1)n2CC(=O)O,1
2FQ,Cc1ncc2cc(N)c(=O)n(C)c2n1,1
2GQ,O=c1[nH]c(N2CCCC2)cc2ccccc12,1
2J5,Cc1cccnc1NCc1ccccc1O,1
2J6,Oc1cc(F)ccc1CNc1ncccc1-c1ncccn1,1
2J7,Oc1ccccc1CNc1cc(NCc2ccccc2O)ncn1,1
2J9,O=S1(=O)NCN(C2CC2)c2ccc(F)cc21,1
2JA,C/C(=C\CCP(=O)(O)OP(=O)(O)O)CO,1
2K7,COc1ccc(CCc2cc(Nc3ccnc(NCc4cc(C)no4)n3)[nH]n2)cc1OC,1
2KD,COC(=O)C(Cc1ccc(O)cc1)NC(=O)c1cc(C(=O)O)c2cc(-c3cccc(Cl)c3)ccc2n1,1
2KH,O=c1ccn(C2OC(COP(=O)(O)NP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,1
2KT,CCC(=O)C(=O)O,1
2KY,NC(C(=O)O)C1CCCC1,1
2L1,Cc1nc[nH]c1CN1CCc2ccccc2C1,1
2L2,Cc1nc[nH]c1CN1CCc2cccc(N)c2C1,1
2LP,[H]/C=C\Cc1ccccc1O,1
2LW,CC(=O)N1CCc2[nH]c3ccc(Cl)cc3c2C1,1
2LX,CNC(=O)c1ccccc1OC1CCOCC1,1
2M9,COc1cc(S(=O)(=O)O)c2ccc3c(S(=O)(=O)O)cc(S(=O)(=O)O)c4ccc1c2c43,1
2MR,C/N=C(/NC)NCCCC(N)C(=O)O,1
2MY,Cc1cccc(C)c1O,1
2N6,CSc1nc(-c2ccc(C)cc2C)c2c(C#N)c[nH]c2n1,1
2NC,[H]/[NH+]=C(\N)NCCCC(NC(=O)C(CCC(N)=O)NC(=O)C(CCCC)NCC(CCCC)NC(=O)C(NC(=O)C(NC(C)=O)C(C)O)C(C)CC)C(N)=O,1
2OH,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1
